(86, 10)
(87, 10)
(88, 10)
(89, 10)
(90, 10)
(91, 10)
(92, 10)
(93, 10)
(94, 10)
(95, 10)
(96, 10)
(97, 10)
(98, 10)
(85, 11)
(86, 11)
(87, 11)
(88, 11)
(89, 11)
(90, 11)
(91, 11)
(92, 11)
(93, 11)
(94, 11)
(95, 11)
(96, 11)
(97, 11)
(98, 11)
(99, 11)
(84, 12)
(85, 12)
(86, 12)
(87, 12)
(88, 12)
(89, 12)
(90, 12)
(91, 12)
(92, 12)
(93, 12)
(94, 12)
(95, 12)
(96, 12)
(97, 12)
(98, 12)
(99, 12)
(100, 12)
(83, 13)
(84, 13)
(85, 13)
(86, 13)
(87, 13)
(88, 13)
(89, 13)
(90, 13)
(91, 13)
(92, 13)
(93, 13)
(94, 13)
(95, 13)
(96, 13)
(97, 13)
(98, 13)
(99, 13)
(100, 13)
(101, 13)
(63, 14)
(82, 14)
(83, 14)
(84, 14)
(85, 14)
(86, 14)
(87, 14)
(88, 14)
(89, 14)
(90, 14)
(91, 14)
(92, 14)
(93, 14)
(94, 14)
(95, 14)
(96, 14)
(97, 14)
(98, 14)
(99, 14)
(100, 14)
(101, 14)
(102, 14)
(59, 15)
(60, 15)
(61, 15)
(62, 15)
(63, 15)
(64, 15)
(65, 15)
(66, 15)
(67, 15)
(82, 15)
(83, 15)
(84, 15)
(85, 15)
(86, 15)
(87, 15)
(88, 15)
(89, 15)
(90, 15)
(91, 15)
(92, 15)
(93, 15)
(94, 15)
(95, 15)
(96, 15)
(97, 15)
(98, 15)
(99, 15)
(100, 15)
(101, 15)
(102, 15)
(57, 16)
(58, 16)
(59, 16)
(60, 16)
(61, 16)
(62, 16)
(63, 16)
(64, 16)
(65, 16)
(66, 16)
(67, 16)
(68, 16)
(69, 16)
(81, 16)
(82, 16)
(83, 16)
(84, 16)
(85, 16)
(86, 16)
(87, 16)
(88, 16)
(89, 16)
(90, 16)
(91, 16)
(92, 16)
(93, 16)
(94, 16)
(95, 16)
(96, 16)
(97, 16)
(98, 16)
(99, 16)
(100, 16)
(101, 16)
(102, 16)
(103, 16)
(56, 17)
(57, 17)
(58, 17)
(59, 17)
(60, 17)
(61, 17)
(62, 17)
(63, 17)
(64, 17)
(65, 17)
(66, 17)
(67, 17)
(68, 17)
(69, 17)
(70, 17)
(81, 17)
(82, 17)
(83, 17)
(84, 17)
(85, 17)
(86, 17)
(87, 17)
(88, 17)
(89, 17)
(90, 17)
(91, 17)
(92, 17)
(93, 17)
(94, 17)
(95, 17)
(96, 17)
(97, 17)
(98, 17)
(99, 17)
(100, 17)
(101, 17)
(102, 17)
(103, 17)
(206, 17)
(55, 18)
(56, 18)
(57, 18)
(58, 18)
(59, 18)
(60, 18)
(61, 18)
(62, 18)
(63, 18)
(64, 18)
(65, 18)
(66, 18)
(67, 18)
(68, 18)
(69, 18)
(70, 18)
(71, 18)
(81, 18)
(82, 18)
(83, 18)
(84, 18)
(85, 18)
(86, 18)
(87, 18)
(88, 18)
(89, 18)
(90, 18)
(91, 18)
(92, 18)
(93, 18)
(94, 18)
(95, 18)
(96, 18)
(97, 18)
(98, 18)
(99, 18)
(100, 18)
(101, 18)
(102, 18)
(103, 18)
(202, 18)
(203, 18)
(204, 18)
(205, 18)
(206, 18)
(207, 18)
(208, 18)
(209, 18)
(210, 18)
(54, 19)
(55, 19)
(56, 19)
(57, 19)
(58, 19)
(59, 19)
(60, 19)
(61, 19)
(62, 19)
(63, 19)
(64, 19)
(65, 19)
(66, 19)
(67, 19)
(68, 19)
(69, 19)
(70, 19)
(71, 19)
(72, 19)
(81, 19)
(82, 19)
(83, 19)
(84, 19)
(85, 19)
(86, 19)
(87, 19)
(88, 19)
(89, 19)
(90, 19)
(91, 19)
(92, 19)
(93, 19)
(94, 19)
(95, 19)
(96, 19)
(97, 19)
(98, 19)
(99, 19)
(100, 19)
(101, 19)
(102, 19)
(103, 19)
(200, 19)
(201, 19)
(202, 19)
(203, 19)
(204, 19)
(205, 19)
(206, 19)
(207, 19)
(208, 19)
(209, 19)
(210, 19)
(211, 19)
(212, 19)
(38, 20)
(53, 20)
(54, 20)
(55, 20)
(56, 20)
(57, 20)
(58, 20)
(59, 20)
(60, 20)
(61, 20)
(62, 20)
(63, 20)
(64, 20)
(65, 20)
(66, 20)
(67, 20)
(68, 20)
(69, 20)
(70, 20)
(71, 20)
(72, 20)
(73, 20)
(80, 20)
(81, 20)
(82, 20)
(83, 20)
(84, 20)
(85, 20)
(86, 20)
(87, 20)
(88, 20)
(89, 20)
(90, 20)
(91, 20)
(92, 20)
(93, 20)
(94, 20)
(95, 20)
(96, 20)
(97, 20)
(98, 20)
(99, 20)
(100, 20)
(101, 20)
(102, 20)
(103, 20)
(104, 20)
(199, 20)
(200, 20)
(201, 20)
(202, 20)
(203, 20)
(204, 20)
(205, 20)
(206, 20)
(207, 20)
(208, 20)
(209, 20)
(210, 20)
(211, 20)
(212, 20)
(213, 20)
(34, 21)
(35, 21)
(36, 21)
(37, 21)
(38, 21)
(39, 21)
(40, 21)
(41, 21)
(42, 21)
(53, 21)
(54, 21)
(55, 21)
(56, 21)
(57, 21)
(58, 21)
(59, 21)
(60, 21)
(61, 21)
(62, 21)
(63, 21)
(64, 21)
(65, 21)
(66, 21)
(67, 21)
(68, 21)
(69, 21)
(70, 21)
(71, 21)
(72, 21)
(73, 21)
(81, 21)
(82, 21)
(83, 21)
(84, 21)
(85, 21)
(86, 21)
(87, 21)
(88, 21)
(89, 21)
(90, 21)
(91, 21)
(92, 21)
(93, 21)
(94, 21)
(95, 21)
(96, 21)
